year,precipitation,city
1994,8.66,los angeles
1995,23.65,los angeles
1996,17.75,los angeles
1997,10.69,los angeles
1998,27.85,los angeles
1999,8.06,los angeles
2000,11.93,los angeles
2001,19.6,los angeles
2002,7.35,los angeles
2003,13.37,los angeles
2004,20.1,los angeles
2005,26.61,los angeles
2006,11.61,los angeles
2007,5.66,los angeles
2008,14.43,los angeles
2009,9.39,los angeles
2010,23.09,los angeles
2011,12.26,los angeles
2012,8.15,los angeles
2013,3.6,los angeles
2014,9.77,los angeles
2015,7.66,los angeles
2016,11.8,los angeles
2017,13.24,los angeles
2018,8.86,los angeles
2019,21.55,los angeles
2020,9.81,los angeles
2021,14.27,los angeles
1898,49.58,miami
1902,44.38,miami
1904,63.47,miami
1905,65.18,miami
1906,72.01,miami
1907,33.15,miami
1908,85.36,miami
1909,76.78,miami
1910,51.97,miami
1911,54.12,miami
1912,68.37,miami
1913,51.27,miami
1914,46.56,miami
1915,54.96,miami
1916,42.68,miami
1917,47.82,miami
1918,43.33,miami
1919,60.04,miami
1920,47.61,miami
1921,44.37,miami
1922,67.57,miami
1923,41.85,miami
1924,65.54,miami
1925,71.93,miami
1926,64.66,miami
1927,33.69,miami
1928,55.31,miami
1929,84.38,miami
1930,73.51,miami
1931,60.87,miami
1932,79.9,miami
1933,66.05,miami
1934,68.79,miami
1935,47.91,miami
1936,77.3,miami
1937,60.88,miami
1938,43.74,miami
1939,72.62,miami
1940,67.12,miami
1941,63.34,miami
1942,68.87,miami
1943,62.45,miami
1944,40.19,miami
1945,42.28,miami
1946,55.44,miami
1947,78.4,miami
1948,78.79,miami
1949,62.14,miami
1950,49.47,miami
1951,38.67,miami
1952,48.94,miami
1953,65.15,miami
1954,62.26,miami
1955,41.35,miami
1956,37.05,miami
1957,70.87,miami
1958,71.92,miami
1959,89.33,miami
1960,70.26,miami
1961,41.7,miami
1962,42.27,miami
1963,46.08,miami
1964,60.2,miami
1965,58.4,miami
1966,82.06,miami
1967,66.22,miami
1968,83.39,miami
1969,71.49,miami
1970,44.72,miami
1971,50.72,miami
1972,63.11,miami
1973,53.24,miami
1974,49,miami
1975,39.1,miami
1976,55.9,miami
1977,64.95,miami
1978,45.83,miami
1979,60.11,miami
1980,57.34,miami
1981,50.79,miami
1982,67.41,miami
1983,57.42,miami
1984,60.02,miami
1985,56.26,miami
1986,66.12,miami
1987,50.27,miami
1988,44.59,miami
1989,42.63,miami
1990,51.71,miami
1991,71.42,miami
1992,57.82,miami
1993,62.79,miami
1994,79.56,miami
1995,79.3,miami
1996,57.71,miami
1997,70.61,miami
1998,70.23,miami
1999,64.09,miami
2000,61.05,miami
2001,72.03,miami
2002,63.29,miami
2003,72.13,miami
2004,54.44,miami
2005,68.21,miami
2006,64.17,miami
2007,63.97,miami
2008,60.27,miami
2009,52.09,miami
2010,65.1,miami
2011,63.78,miami
2012,86.94,miami
2013,70.42,miami
2014,63.6,miami
2015,62.07,miami
2016,65.93,miami
2017,83.12,miami
2018,61.45,miami
2019,67.15,miami
2020,86.57,miami
2021,61.27,miami
